ሀ,ሀ,,ሀ /ha/ ስ/n. (በክስታንኛ ፊደል ገበታ ቀዳሚ ፊደል) the first letter of the Kistaninya alphabet  ,
ሃይለ ስላሴ,ሃይለ ስላሴ,,ሃይለ ስላ%ሴ /hayl« s³llase/ ስ/n. (ከ1923 እስከ 1966 ኣ.ም. ድረስ የኢትዮጵያ ንጉሰ ነገስት የነበሩ) the name of the Ethiopian emperor who ruled the country from 1931- 1974,
ሃይማኖት,ሃይማኖት,religion,ሃይማኖት /haymanot/ ስ/n. [1] (ሃይማኖት) religion  ,
ሃይማኖተኛ,ሃይማኖተኘ,religious,"v ሃይማኖተኘ%/haymanot«ññ«/ ቅ/adj. (ሃይማኖተኛ) religious, pious ኳ ሃይማኖተኘ%ን:: (እሱ ሃይማኖተኛ ነው::) He is a religious person.",
ሃጢያት,ሃጢያት,sin,ሃጢያት /hat′yat/ ስ/n. (ሃጢያት) sin ሃጢያት የሌለቦ እዝጌርንጭ:: (ሃጢኣት የሌለ%በት እግዜር ብቻ ነው፡፡) Only God is sinless.,
ሃጢኣተኛ,ሃጢያተኘ,sinner,v ሃጢያተኘ% /hat′iyat«ññ«/ ቅ/adj. (ሃጢኣተኛ) sinner,
,ሁነኘ,,ሁነኘ% /hun«ññ«/ ተመልከት see ኩነኘ% kun«ññ« ,
ኣኳኋን,ሁኔታ,condition,"ሁኔታ /huneta/ ስ/n. [1] (ሁኔታ፣ ኣኳኋን) condition, situation የወጀቢ ሁኔታ ከባ%ድን፡፡ (የማእበሉ ሁኔታ ከባድ ነው::) The condition of the storm is violent. ",
ሄዋን,ሄዋን,Eve,ሄዋን /hewan/ ስ/n. (ሄዋን) Eve ,
ህሊና,ህሊና, conscience,"ህሊ%ና /h³llina/ ስ/n. (ህሊና፣ኣእምሮ) conscience, mind",
ኣእምሮ,ህሊና,mind,ህሊ%ና /h³llina/ ስ/n. (ኣእምሮ) mind,
ህቅ,ህቅ ባለንት,gasp,"ህቅ% ባለን%ት /h³k'k' bal«nnët/ ግ/v. [h³k'k' yibll³t, h³k'k' wob«l] (ህቅ ኣለው {ሰው ሲሞት}) make a last gasp (of a dying person) ጉርዚ ዪሞትጐይ ቁናጐይ ህቅ% ባሎ:: (ሽማግሌው ሲሞቱ ኣንዴ ህቅ ኣሉ::) The old man hiccupped once when he died. ",
ህብረት,ህብረት,unity,ህብረት /h³br«t/ ስ/n. (ህብረት) unity የህብረት ዎዘላ ብዠኋንጐይ ስሙረተኘ%ን፡፡ (የህብረት ስራ ኣብዛኛውን ጊዜ ስኬታማ ነው::) Concerted effort is usually fruitful.,
ህብስት,ህብስት,,ህብስት /h³b³st/ ስ/n. (ህብስት) a small flat bread (symbolizing the flesh of Christ at Mass prayers) ,
ህንፃ,ህንፃ,building,ህንፃ /h³ns′a/ ስ/n. [1] (ህንፃ) building ,
ህክምና,ህክምና,medical,ህክ%ምና% /h³kk³m³nna/ ስ/n. (ህክምና) medical treatment ምጠጠኘ% ሰብ ህክምና% ያሸ%ን%ትን:: (የታመመ ሰው ህክምና ያስፈልገዋል::) A sick person   needs medical treatment. ,
ህግ,ህግ,law,ህግ% /h³gg/ ስ/n. [1] (ህግ) law,
,ህገ መንግስት,constitution ,v ህገ% መንግስት /h³gg« m#ng³st/ ስ/n. (ህገ መንግስት) constitution ,
,ህገ ወጥ,"lawless,","v ህገ% ወጥ% /hëgg« w«t′t′/ ቅ/adj. (ህገ ወጥ) lawless, outlaw ",
,ህግ ኣስከባሪ,guardian,"v ህግ% ኣስከባ%ሪ /h³gg ask«bbari/ ስ/n.  (ህግ ኣስከባሪ) attorney general, guardian of the law",
ሆሳእና,ሆሳእና,,ሆሳ%እና /hossa?³na/ ስ/n. (ሆሳእና) Palm Sunday ,
ለ,ለ,,"ለ /l«/ ስ/n (በክስታንኛ ፊደል ገበታ ከ ""ሀ"" ቀጥሎ የሚገኘው ፊደል) the name of the letter next to ""ha"" of the Kistaninya alphabet ",
,ለ,,ለ­ /l«­/ (ድርጊት ተቀባይ ኣመልካች ምእላድ) a morpheme that indicates a receiver of an action ዋጊ ለኳ ኣብኩን%ት፡፡ (ገንዘቡን ለሱ ሰጠሁት፡፡) I gave the money to him.,
ለሀጭ,ለሃጭ,drivel,"ለሃጭ /l«hač′/ ስ/n. (ለሀጭ) drivel, slimy saliva ",
ቀላል,ለለ,light,ለለ1 /l«l«/ ቅ/adj. (ቀላል) light ዝናቢ ለለን:: (ዝናቡ ቀላል ነው፡፡) The rain is light. ,
ልል,ለለ,loose,ለለ2 /l«l«/ ቅ/adj. (ልል) loose ማገሪ ለለን፡፡ (ማገሩ ልል ነው::) The cross-piece is loose.,
ኣደገ,ለማው,develop,"ለማ%ው /l«mmaw/ ግ/v. [yil«maw, lëma wolma] (ለማ፣በቀለ፣ኣደገ) develop, be productive",
ልምላሜ,ልምላሜ,fertility,"v ልምላ%ሜ /l³m³llame/ ስ/n. (ልምላሜ) fertility, greenness (of vegetation, soil, etc.)",
ለማዳ,ለማዳ,tame,"ለማ%ዳ /l«mmada/ ቅ/adj. (ለማዳ) tame, domesticated ",
ሻሜታ,ለማጣ,,ለማ%ጣ% /l«mmat′t′a/ ስ/n. (ሻሜታ፣ እምቡሽቡሽ) nonalcoholic home-made drink prepared from roasted barley flour   ሻሚቲ ደንዳንን:: (ሻሜታው ወፍራም ነው::) The šamit is thick. ,
ለም,ለም,fertile,ለም /l«m/ ቅ/adj. (ለም) fertile,
ለምለም,ለምለም,verdant,"v ለምለም /l«ml«m/ ስ/n. (ለምለም) green (leaves), verdant ",
ለምነት,ለምነት,fertility,v ለምነት /l«mënn«t/  ስ/n. (ለምነት) fertility ,
ለብ,ለሰስ ባሎ,lukewarm,"ለሰስ% ባሎ /l«s«ss balo/ ግ/v. [l«s«ss yiblu, l«s«ss wob«l] (ለብ ኣለ) be lukewarm   ለሰስ በባለ ዪጋ ዎታጠብ ኧዎዱ%:: (ለብ ባለ ውሃ መታጠብ እወዳለሁ፡፡) I like bathing in lukewarm water.",
ተኛ,ለሽ ባሎ,slept,"ለሽ% ባሎ1 /l«šš balo/ ግ/v. [l«šš yiblu, l«šš b«l, l«šš wob«l] (ለሽ ኣለ፣ተኛ) sleep deeply ጐሺ ለሽ% ባለም እኘ%ም፡፡ (ልጁ ለሽ ብሎ ተኝቷል፡፡) The boy has slept deeply. ",
ተዘናፈለ,ለሽ ባሎ,flattened,"ለሽ% ባሎ2 /l«šš balo/ ግ/v. [l«šš yiblu, l«šš b«l, l«šš wob«l] (ተዘናፈለ) lie down relaxedly, flattened (grain, grass) ኧሲቲ ጣፊ ለሽ% ባለም:: (ያሸተው ጤፍ ተዘናፍሏል::) The ripe t'afi is flattened.",
ያዝ ,ለቀም ኣበሎ,grab,"ለቀም% ኣበሎ /l«k′«mm ab«lo/ ግ/v. [l«k′«mm yablu, l«k′«mm abël, l«k′«mm wabël] (ለቀም ኣረገ፣ያዝ ኣረገ) grab, catch (suddenly) ውሲ% ኧግርዲ% ለቀም% ኣበሌው:: (ውሻው እግሬን ለቀም ኣረገኝ::) The dog caught my leg suddenly.",
ለቀመ,ለቀሞ,gather,"ለቀ%ሞ /l«k′k′«mo/ ግ/v. [yil#k'mu, l³k'#m, wolk'³m] (ለቀመ) gather, collect ኣለሙ እንጨ ለቀ%ሞ፡፡ (ኣለሙ እንጨት ለቀመ፡፡) Alemu collected firewood. ",
ለቀመ,ለቀሞ,collect,"ለቀ%ሞ /l«k′k′«mo/ ግ/v. [yil#k'mu, l³k'#m, wolk'³m] (ለቀመ) gather, collect ኣለሙ እንጨ ለቀ%ሞ፡፡ (ኣለሙ እንጨት ለቀመ፡፡) Alemu collected firewood. ",
ለቀማ,ለቀማ,gathering,"v ለቀማ /l«k′«ma/ ስ/n. (ለቀማ) gathering, collecting እንጨ ለቀማ (እንጨት ለቀማ) gathering firewood",
ለቃሚ,ለቃሚ,collector,v ለቃሚ /l«k′ami/ ስ/n. [1] (ለቃሚ) collector,
ለቃቀመ,ልቀቀሞ,,"v ልቀቀ%ሞ /lëk'«k'k'«mo/ ግ/v. [yilk'«k'ëmu, lëk'«k'ëm, wolk'«k'ëm] (ለቃቀመ) pick up here and there ",
ልቃሚ,ልቃሚ,discarded,v ልቃ%ሚ /l³k′k′ami/ ቅ/adj. (ልቃሚ) discarded (usu. grain),
, ልቃቀሞ,,"v ልቃቀ%ሞ /l³k′ak′k'«mo/ ተመልከት ""ለቀ%ሞ"" ስር ""ልቀቀ%ሞ"" see ""lëk'«k'k'«mo"" under ""l«k′k′«mo""",
,ልቅምቅም ኣበሎ,,"v ልቅምቅም% ኣበሎ /l³k'³mk'³mm ab«lo/ ተመልከት ""ለቀ%ሞ"" ስር ""ልቀቀ%ሞ"" see ""lëk'«k'k'«mo"" under ""l«k′k′«mo"" ",
እርጉዝ,ለቀባ,pregnant.,ለቀ%ባ  /l«k′k′«ba/ ስ/n./ለእንሰሳት ብቻ/used for animals only (እርጉዝ) pregnant ፍየ%ሊ ለቀ%ባን፡፡ (ፍየሏ እርጉዝ ናት፡፡) The nanny goat is pregnant.,
,ለቆዳ,,ለቆዳ /l«k′oda/ ስ/n./ጥንታዊ ቃል/ arch. (የኣፍ ወለምታ) slip of the tongue ,
ለፋ,ለቆዴ ባሎ,exhausted,"ለቆዴ ባሎ /l«k′ode balo/ ግ/v. [l«k′ode yiblu, l«k′ode wob«l] (ባዘነ፣ለፋ) be exhausted, be fatigued የጠፈ%ሚ ኧጣየየ ለዎሻ ለቆዴ ባልኖ፡፡ (የጠፉትን በጐች ለመፈለግ ብዙ ባዘንን፡፡) We became exhausted looking for the lost sheep.",
ለበሰ,ለበሶ,wear,"ለበ%ሶ /l«bb«so/ ግ/v. [yil#bsu, l³b#s, wolb³s] (ለበሰ) wear, put on ",
ለበጣ,ለበጣ,perfunctory,ለበጣ /l«b«t′a/ ስ/n. (ለበጣ) doing things perfunctorily የለበጣ ዎዘላ (የለበጣ ስራ) a perfunctory work ,
ለቡ,ለቡ,,ለቡ /l«bu/ ስ/n. (የመቂ ወንዝ ገባር {በክስታኔ ኣካባቢ የሚገኝ}) the name of a river in Kistane area which is one of the tributaries of the M#k'i river,
,ለብ ባሎ,,ለብ% ባሎ /l«bb balo/ ተመልከት see ሊበ%ጦ libb#t'o ,
ተሞጣሞጠ,ለብለቤ ባሎ,chatterbox,"ለብለቤ ባሎ /l«bl«be balo/ ግ/v. [l«bl«be yiblu. l«bl«be wob«l] (ተሞጣሞጠ፣ምላሰኛ ሆነ) be loquacious, be a chatterbox ምሽቲ ለብለቤ ባለቲ%፡፡ (ሴትዮዋ ተሞጣሞጠች፡፡) The woman chattered a lot. ",
ሞጥሟጣ,ለብላባ,loquacious,v ለብላባ% /l«blabba/ ቅ/adj. (ሞጥሟጣ) loquacious ,
ለሰስታ,ለብታ ,lukewarm,ለብ%ታ /l«bb³ta/ ስ/n. (ለብ%ታ፣ለሰስታ) lukewarm ,
መንታ,ለንቻ,twins,ለንቻ /l#nča/ ስ/n. (መንታ) twins ፍየሊ ለንቻ ወለ%ዶ:: (ፍየሏ መንታ ወለደች፡፡) The nanny goat gave birth to twin kids. ,
ለምድ,ለንዳ,sheepskin,ለንዳ /l#nda/ ስ/n. (ለምድ) sheepskin cloak (usu. worn by boys)   ,
,ለኦዳ,,ለኦዳ /l«oda/ ተመልከት see ለቆዳ l«k′oda,
,ለኦዴ ባሎ,,ለኦዴ ባሎ /l#?ode/ ተመልከት see ለቆዴ ባሎ l«k′ode balo,
ኣረከሰ,ለከፎ,impure,"ለከ%ፎ1 /l«kk«fo/ ግ/v. [yil«kfu, wolkëf] (ለከፈ፣ኣረከሰ) make impure (by the tongue of a dog)  ",
ተነኰሰ,ለከፎ,provoke,"ለከ%ፎ2 /l«kk«fo/ ግ/v. [yil#kfu, wolk³f] (ለከፈ፣ተነኰሰ) provoke",
ተንኳሽ,ለካፊ,,v ለካፊ /l#kafi/ ቅ/adj. (ለካፊ፣ተንኳሽ) one who provokes ,
ልክፍት, ልክፍት,illness,v ልክፍት /l³k³ft/ ስ/n. (ልክፍት)  an illness (caused by evil spirit)  ,
,ለዊሳ,,ለዊ%ሳ /l«wwisa/ ተመልከት see ቀውቃዋ% k′#wk′awwa  ,
,ለዌ,,ለዌ% /l«wwe/  ተመልከት see ቀውቃዋ% k′#wk′awwa  ,
ቀውቀው,ለውለው ባሎ,,ለውለው ባሎ /l«wl«w balo/ ተመልከት see ቀውቀው ባሎ k′#wk′#w balo ,
,ለውላዋ,,ለውላዋ% /l«wlawwa/ ተመልከት see ቀውቃዋ% k′#wk′awwa  ,
ለዘዘ,ለዘዞ,moistened,"ለዘ%ዞ /l«zz«zo/ ግ/v. [yil#zzu, wolz³z] (ለዘዘ) got moistened",
ለዛ,ለዛ,manner,ለዛ% /l«zza/ ስ/n. (ለዛ፣የንግግር ለዛ፣) way of speaking in a captivating manner,
ለዛ ቢስ,ለዛ ቢስ,unattractive,ለዛ% ቢስ /l«zza bis/ ቅ/adj.  (ለዛ ቢስ) unattractive (in speech or act),
ለዛዛ,ለዛዛ,moistened,ለዛዛ /l«zaza/ ቅ/adj. (ለዛዛ) that which is moistened ለዛዛ እንጨ ቲነድ%፡፡ (ለዛዛ እንጨት ኣይነድም::) Moistened wood doesn't burn well.,
ታታሪ,ለዶ,hard-working,ለዶ /l«do/ ቅ/adj. (ታታሪ) hard-working ,
ነካ,ለገዶ,touch,"ለገ%ዶ1 /l«gg«do/ ግ/v. [yil#gdu, l³g#d, wolg³d] (ነካ) touch ልባሽዲ% ጪቃራ ለገ%ዴው:: (ልብሴን ጭቃ ነካው::) My cloth got soiled with mud. ",
ኣማሰለ,ልገገዶ,stir,"v ልገገ%ዶ1 /lëg«gg«do/ ግ/v. [yilg#ggëdu, l³g#gd, wolg«gd] (ኣማሰለ) stir (as with a stirring rod) ወጥ ልገገ%ዶ:: (ወጥ ኣማሰለ::) He stirred the stew. ",
,ልገገዶ,,v ልገገ%ዶ2 /lëg«gg«do/ ተመልከት see ለከ%ፎ2 l«kk«fo,
ተንኳሽ,ልጋግደኘ,"provocative,","v ልጋግደኘ% /l³gagd«ññ«/ ቅ/adj. (ተንኳሽ፣ነገረኛ) provocative, quarrelsome ልጋግደኘ% ሰብ (ተንኳሽ ሰው) a provocative person",
ነገረኛ,ልጋግደኘ,quarrelsome,"v ልጋግደኘ% /l³gagd«ññ«/ ቅ/adj. (ተንኳሽ፣ነገረኛ) provocative, quarrelsome ልጋግደኘ% ሰብ (ተንኳሽ ሰው) a provocative person",
, ልግዴ,,"v ልግዴ /l³gde/  ተመልከት ""ለገ%ዶ1"" ስር ""ልጋግደኘ%"" see ""l³gagd«ññ«"" under ""l«gg«do""",
,ለገዶ,,ለገ%ዶ2 /l«gg«do/ ተመልከት see ለከ%ፎ2 l«kk«fo,
ረጠበ,ለገጐ,wet,"ለገ%ጐ /l«gg«go/ ግ/v. [yil«ggu, wolgëg] (ራሰ፣ረጠበ) be wet, be moistened ",
,ለጊቱ,,ለጊ%ቱ% /l«ggittu/ ቅ/adj. (ቃሉን የማይጠብቅ) one who doesn't keep his words ,
እምቡጥ,ለጋ ,unripe,"ለጋ /l«ga/ ቅ/adj. (ለጋ፣እምቡጥ) young, unripe",
ኮብላይ,ለጋተኘ,deflector,"ለጋ%ተኘ% /l#ggat#ññ#/ ቅ/adj. (ኮብላይ) deserter, deflector ",
,ለጋተኘ,deserter,"ለጋ%ተኘ% /l#ggat#ññ#/ ቅ/adj. (ኮብላይ) deserter, deflector ",
,ለጋው,,"ለጋ%ው /l«ggaw/ ግ/v. [yil«gaw, wolga] (ቃሉን ኣፈረሰ) break one's word ",
እርጥበት,ለጋግ,moist,"ለጋ%ግ /l«ggag/ ቅ/adj. (እርጥበት ያለው፣በሚገባ ያልደረቀ) moist, wet ",
ያልደረቀ,ለጋግ,wet,"ለጋ%ግ /l«ggag/ ቅ/adj. (እርጥበት ያለው፣በሚገባ ያልደረቀ) moist, wet ",
ለግላጋ,ለግላጋ,young,"ለግላጋ% /l«glagga/ ቅ/adj. (ለግላጋ) young, just growing up ",
,ለግላግ,,"ለግላግ /l«glag/ ተመልከት ""ልገለ%ጐ"" ስር see under ""lëg«ll«go""",
ተስተካከለ,ለጠቅ ባሎ,,"ለጠቅ% ባሎ /l«t′«k′k' balo/ ግ/v. [l«t′«k′k' yiblu, l«t′«k′k' wob«l] (ቀጥ ኣለ፣ተስተካከለ) become straight ",
ጣባ,ለጠብ,,ለጠብ /l«t′«b/ ስ/n. (ጐድጓዳ ጣባ) clay bowl,
ልምጥ,ለጥ ለጥ ባሎ,wobble,"ለጥ ለጥ ባሎ /l«t′ l«t′ balo/ ግ/v. [l«t′ l«t′ yiblu, l«t′ l«t′ wob«l] (ልምጥ ልምጥ ኣለ) flexible, wobble ",
,ለጥ ባሎ,,ለጥ% ባሎ /l«t′t′ balo/ ተመልከት see ለሽ% ባሎ1 l«šš balo,
ተርበደበደ,ለጭለጭ ባሎ,trembled,"ለጭለጭ ባሎ /l«č'l«č' balo/ ግ/v. [l«č'l«č' yiblu, l«č'l«č' wob«l] (ተልፈሰፈሰ፣ተርበደበደ) tremble with fear ገበቶ ዴሮ ኣዠም ለጭለጭ ባሎ፡፡ (ገበቶ ኣነር ኣይቶ ተርበደበደ፡፡) Gebeto trembled with fear as he saw a wildcat.  ",
ልፍስፍስ,ለጭላጫ,lousy,"ለጭላጫ% /l«č'lač'č'a/ ቅ/adj. (ልፍስፍስ፣ሰነፍ) lousy, lazy ለጭላጫ% ባይ (ልፍስፍስ ልጅ) a lousy boy",
ሰነፍ,ለጭላጫ,lazy,"ለጭላጫ% /l«č'lač'č'a/ ቅ/adj. (ልፍስፍስ፣ሰነፍ) lousy, lazy ለጭላጫ% ባይ (ልፍስፍስ ልጅ) a lousy boy",
ፍዝዝ,ለጭ ባሎ,dizzy ,"ለጭ% ባሎ /l«č'č'  balo/ ግ/v. [l«č'č' yiblu, l«č'č' wob«l] (ቅዝዝ ኣለ፣ ፍዝዝ ኣለ) become dizzy ",
ታዳጊ,ለጮ,adolescent,"ለጮ /l«č'o/ ቅ/adj.  (ታዳጊ፣ገና እድገቱን ያልጨረሰ ልጅ) lad, adolescent (boy)",
ልጅ,ለጮ,lad,"ለጮ /l«č'o/ ቅ/adj.  (ታዳጊ፣ገና እድገቱን ያልጨረሰ ልጅ) lad, adolescent (boy)",
ለመደ,ለፈቶ,familiarized,"ለፈ%ቶ /l«ff«to/ ግ/v. [yil«ftu, lëfët, wolfët] (ለመደ) become familiarized ጐሺ ለፈ%ቶ፡፡ (ልጁ ለመደ፡፡) The boy has familiarized himself (with the new environ). ",
ደከመ,ለፋው,tired,"ለፋ%ው1 /l«ffaw/ ግ/v. [yil«faw, lëfa, wolfa] (ለፋ፣ ደከመ) be tired ",
ለፋ,ለፋው,tanned,"ለፋ%ው2 /l«ffaw/ ግ/v. [yil«faw, wolfa] (ለፋ {ለቆዳ}) become soft (hide by being tanned)",
ባተሌ,ልፋተኘ,hard-working,v ልፋተኘ% /l³fat«ññ«/ ቅ/adj. (ባተሌ) one who toils or works hard ልፋተኘ% ሰብ (ባተሌ ሰው) a hard working person  ,
,ልፋትመኘ,,"v ልፋትመኘ% /l³fatm«ññ«/ ተመልከት ""ለፋ%ው2"" ስር ""ልፋተኘ%"" see ""l³fat«ññ«"" under ""l«ffaw""",
ቃልኪዳን,ለፌ,promise,"ለፌ /l«fe/ ስ/n. (ቃልኪዳን) word of promise የኣገር ለፌ ዎበል ጡብቅ ማላን፡፡ (የኣገር ""ለፌ"" ማለት ከባድ መሃላ ነው፡፡) Swearing an oath in the name of one's native country is serious. ",
,ለፌተኘ,,ለፌተኘ% /l«fet«ññ«/ ቅ/adj. (ቃሉን ኣክባሪ) one who keeps his word,
ይስማማህ,ለፎት የሁንልከ,,ለፎት የሁንልከ /l«fot y«hunëlk«/ ግ/v. (ይስማማህ {የበላኸው}) have a good appetite.,
ልኳንዳ,ሉሃንዳ,,ሉሃንዳ /luhanda/ ስ/n. (ልኳንዳ) butcher's shop የሉካንዳ በሰር (የልኳንዳ ስጋ) meat from a butcher's shop ,
,ሉቂሳ,,ሉቂ%ሳ /luk′k′isa/ ስ/n. (በቀድሞ ጊዜ ሴቶች ይዋቡበት የነበረ የፀጉር ኣሰራር) hairdo used by women in olden days,
ሙላ,ሉቄቱ,,ሉቄ%ቱ% /luk′k′ettu/ ስ/n. (ሙላ) hip joint  ,
ሰጐን,ሉቄታ,ostrich,ሉቄ%ታ% /luk′k′etta/ ስ/n (ሰጐን) ostrich ከ.ረ/K.R,
ሞፈር,ሉባየ,plow,ሉባየ /lubay«/ ስ/n. (ሞፈር) plow beam ,
ተርገበገበ,ሉብ ሉብ ባሎ,vibrate,"ሉብ% ሉብ% ባሎ /lubb lubb balo/ ግ/v. [lubb lubb yiblu, lubb lubb wob«l] (ተርገበገበ) vibrate ዪንባቢ ኣናት ሉብ% ሉብ% ዪብሉ:: (የህፃኑ ኣናት ይርገበገባል::) The crown of the baby is vibrating. ",
እብጥ,ሉብ ባሎ,lump,"ሉብ ባሎ /lub balo/ ግ/v. [lubb yiblu, lubb wob«l] (እብጥ ኣለ {ሰውነት ላይ}) form a lump (on one's body) ",
ልንቅጥ,ሉንቁጦ,,ሉንቁጦ /lunk′ut′o/ ስ/n. (የበቆሎ ልንቅጥ) moistened corn flour ground again  የሉንቁጦ ቂጣ (የሉንቁጦ ቂጣ) lunk′ut′o bread,
,ሉክሉኬ,,ሉክሉኬ /lukluke/ ተመልከት see ኮኬ%2 kokke.,
እርኩስ,ሉክፍ,defiled,"ሉክፍ /lukf/ ቅ/adj. (እርኩስ፣ቅዱስ ያልሆነ) impure, defiled ዉሳ የላሰን የጌ ግብር ሉክፍን፡፡ (ውሻ የላሰው የቤት እቃ የረከሰ ነው፡፡) Household implement licked by a dog is considered impure.",
ልጓም,ሉጋም,bit,ሉጋም /lugam/ ስ/n. (ልጓም) bit (the metal part attached to the bridle) ,
ጦልጧላ,ሉጤ,wanderer,"ሉጤ% /lut′t′e/ ቅ/adj. (ጦልጧላ፣ ሶክሷካ) wanderer, sponger ",
ሶክሷካ,ሉጤ, wanderer,"ሉጤ% /lut′t′e/ ቅ/adj. (ጦልጧላ፣ ሶክሷካ) wanderer, sponger ",
ተንጦለጦለ,ሉጥ ሉጥ ባሎ,,"ሉጥ% ሉጥ% ባሎ /lut't' lut't' balo/ ግ/v. [lut't' lut't' yiblu, lut't' lut't' wob«l] (ተንጦለጦለ፣ሱክ ሱክ ኣለ) wander aimlessly  ",
,ሉጦ,,ሉጦ /lut′o/ ስ/n. (ቂጣ መብላት ላልጀመረ ልጅ የሚዘጋጅ ለስላሳ ዳቦ) soft bread prepared for a little baby not yet able to eat crusty food ,
ለሰነ,ሊሰኖ,plaster,"ሊሰ%ኖ /liss#no/ ግ/v. [yiliss³nu, l#ss³n, wol#ss³n] (ለሰነ) plaster ኳ ሰንግን ሊሰ%ኖ፡፡ (እሱ ግድግዳ ለሰነ፡፡) He plastered a wall.",
ሊስትሮ,ሊስትሮ,shoeshine,ሊስትሮ /list³ro/ ስ/n. (ሊስትሮ፣ጫማ ጠራጊ) shoeshine ,
ሊሾ,ሊሾ,,ሊሾ /lišo/ ስ/n. (ሊሾ፣በሲሚንቶ የተሰራ ወለል ወይም ግድግዳ) cemented floor or wall,
ሊቅ,ሊቅ,"expert,","ሊቅ /lik'/ ስ/n. [5] (ሊቅ) scholar, expert, erudite ",
ቆጠበ,ሊበሞ,save,"ሊበ%ሞ1 /libb«mo/ ግ/v. [yilibbëmu, l«bbëm, wol«bbëm] (ቆጠበ) economize ",
ተጠነቀቀ,ሊበሞ,cautious,"ሊበ%ሞ2 /libb«mo/ ግ/v. [yilibbëmu, l«bbëm, wol«bbëm] (ተጠነቀቀ {ከአደጋ}) be careful, be cautious (from accidents)",
ለበደ,ሊበዶ,patch,"ሊበ%ዶ /libb«do/ ግ/v. [yilibb³du, l«bbëd, wol#bb³d] (ለበደ፣ሸፈነ) patch, cover ",
ሸፈነ,ሊበዶ,cover,"ሊበ%ዶ /libb«do/ ግ/v. [yilibb³du, l«bbëd, wol#bb³d] (ለበደ፣ሸፈነ) patch, cover ",
